latitude,longitude,year,total_wood_chucked_lbs,type
41.8,-76.8,2020,2109.0551075944936,historical
41.9,-79.2,2020,1136.7219108008555,forecast
41.9,-75.8,2020,3154.990110131621,historical
42.0,-80.4,2020,2120.988908820428,historical
42.2,-79.9,2020,1136.7219108008555,forecast
39.7,-77.3,2021,19.53554247759518,historical
39.7,-76.1,2021,908.7481312557715,forecast
39.8,-79.9,2021,1117.8666871809314,forecast
39.8,-77.8,2021,2133.037044272424,historical
39.8,-77.4,2021,1117.8666871809316,forecast
39.8,-77.2,2021,351.93561566463967,historical
39.8,-77.0,2021,38613.515842084205,forecast
39.8,-75.9,2021,908.7481312557716,forecast
39.8,-75.7,2021,129.69419079219753,historical
39.8,-75.3,2021,291.812165759078,historical
39.9,-79.6,2021,49357.89989411661,forecast
39.9,-76.8,2021,1829.474032035836,historical
39.9,-75.7,2021,4434.826030572096,historical
39.9,-75.6,2021,18369.516242422316,historical
39.9,-75.5,2021,25513.237918408795,historical
39.9,-75.4,2021,50425.440203726896,historical
39.9,-75.3,2021,38553.24527273316,historical
39.9,-75.2,2021,63363.2357356998,historical
39.9,-75.1,2021,1754.407561140488,forecast
39.9,-75.0,2021,291.812165759078,historical
40.0,-80.0,2021,11011.61451582948,forecast
40.0,-78.6,2021,11011.614515829482,forecast
40.0,-78.2,2021,11011.614515829477,forecast
40.0,-77.6,2021,121.08183053257272,historical
40.0,-77.5,2021,27637.434355638743,forecast
40.0,-77.1,2021,27637.434355638743,forecast
40.0,-76.7,2021,5914.105033699009,historical
40.0,-76.6,2021,4516.884063560645,historical
40.0,-76.5,2021,1970.5025142314405,historical
40.0,-76.4,2021,6567.9851957316105,historical
40.0,-76.3,2021,10663.540938973316,historical
40.0,-76.0,2021,147631.1022454219,forecast
40.0,-75.9,2021,26916.5586724662,forecast
40.0,-75.7,2021,21769.80051306129,historical
40.0,-75.6,2021,23078.9777220014,historical
40.0,-75.5,2021,11910.594952650652,historical
40.0,-75.4,2021,19036.05779481008,historical
40.0,-75.3,2021,42161.529660680375,historical
40.0,-75.2,2021,138791.98415847984,historical
40.0,-75.1,2021,231289.16573695405,historical
40.0,-75.0,2021,6488.474247615456,historical
40.0,-74.9,2021,7546.533403640436,forecast
40.1,-80.5,2021,13717.464058965277,forecast
40.1,-79.6,2021,22643.45260652188,forecast
40.1,-78.9,2021,204.5346957131477,historical
40.1,-78.5,2021,13717.464058965279,forecast
40.1,-77.5,2021,368.44362399035856,historical
40.1,-77.1,2021,13717.46405896528,forecast
40.1,-76.8,2021,385.1162398418445,historical
40.1,-76.6,2021,647.5392281093976,historical
40.1,-76.4,2021,7721.082561800694,forecast
40.1,-76.3,2021,8954.544651478362,historical
40.1,-76.2,2021,15939.529349053148,forecast
40.1,-75.5,2021,8627.39310098518,historical
40.1,-75.4,2021,19442.08155321178,historical
40.1,-75.3,2021,20266.36437103331,historical
40.1,-75.2,2021,29521.89900274935,historical
40.1,-75.0,2021,32460.63007190434,historical
40.1,-74.9,2021,19368.481511702703,historical
40.2,-80.3,2021,3893.834339787121,historical
40.2,-80.1,2021,407.2657970052125,historical
40.2,-79.9,2021,19451.23677685002,forecast
40.2,-79.7,2021,147.9230959782073,historical
40.2,-79.3,2021,41.51302776488976,historical
40.2,-77.0,2021,955.8136820591257,historical
40.2,-76.3,2021,3954.2980706633343,historical
40.2,-75.8,2021,1147.859470901046,historical
40.2,-75.3,2021,29111.9223009418,historical
40.2,-75.1,2021,22068.718328704268,historical
40.2,-74.9,2021,25165.19066329301,historical
40.2,-74.8,2021,16113.13849927852,historical
40.3,-80.2,2021,3398.17587663669,historical
40.3,-80.1,2021,3789.468442875973,historical
40.3,-80.0,2021,6097.488056149015,historical
40.3,-79.6,2021,3437.6299251119635,forecast
40.3,-79.4,2021,759.8598427729202,historical
40.3,-78.7,2021,311.9021202831371,historical
40.3,-77.1,2021,19.53554247759518,historical
40.3,-76.9,2021,11157.369817040702,historical
40.3,-76.8,2021,8536.119409341132,historical
40.3,-76.7,2021,3070.0815739504783,historical
40.3,-76.4,2021,3318.371155280769,historical
40.3,-76.0,2021,6342.385462295196,historical
40.3,-75.9,2021,18032.763111323267,historical
40.3,-75.8,2021,2889.4133942819044,historical
40.3,-75.5,2021,1243.4830542427533,historical
40.3,-75.4,2021,13304.478091716286,historical
40.3,-75.2,2021,3982.3081283014967,historical
40.3,-75.0,2021,12583.912979448462,historical
40.4,-80.2,2021,862.4504987123997,historical
40.4,-80.1,2021,5893.093552491302,historical
40.4,-80.0,2021,33859.17656580283,historical
40.4,-79.9,2021,3667.684076874577,historical
40.4,-79.0,2021,17885.069180807495,forecast
40.4,-78.8,2021,2092.7720392561505,historical
40.4,-75.8,2021,3517.554925012765,historical
40.4,-75.4,2021,18915.969688212386,forecast
40.4,-75.2,2021,526.6376710277669,forecast
40.4,-75.0,2021,4272.434011838555,historical
40.5,-80.2,2021,4397.288426334877,historical
40.5,-80.1,2021,4111.157228781981,historical
40.5,-80.0,2021,9436.522575286346,historical
40.5,-79.9,2021,6992.594640224451,historical
40.5,-79.8,2021,1673.078767853442,historical
40.5,-79.7,2021,7158.867913199723,forecast
40.5,-77.1,2021,19.53554247759518,historical
40.5,-76.3,2021,396.0953255317549,historical
40.5,-75.8,2021,2022.553146589748,historical
40.5,-75.3,2021,510.7086316187584,historical
40.6,-80.2,2021,3647.397183818572,historical
40.6,-80.1,2021,2596.260780019859,historical
40.6,-80.0,2021,3867.186035316668,historical
40.6,-79.5,2021,248.77001477870124,historical
40.6,-79.2,2021,21468.72389728373,historical
40.6,-78.7,2021,2992.4524081400104,forecast
40.6,-77.4,2021,5977.49058929364,forecast
40.6,-76.0,2021,5977.49058929364,forecast
40.6,-75.7,2021,4359.089548172606,forecast
40.6,-75.5,2021,43115.38852992154,historical
40.6,-75.4,2021,30931.42458233774,historical
40.7,-80.3,2021,3856.208524818392,historical
40.7,-79.9,2021,644.3321379423019,historical
40.7,-79.7,2021,480.0806054846669,historical
40.7,-78.6,2021,2150.4410443518527,forecast
40.7,-78.5,2021,740.7023621185884,historical
40.7,-78.1,2021,267.1785745135101,forecast
40.7,-78.0,2021,299.44786762786066,historical
40.7,-77.9,2021,49.82409898345918,historical
40.7,-76.8,2021,38.74971419968372,historical
40.7,-75.5,2021,19954.15823876478,historical
40.7,-75.4,2021,11844.877170078786,historical
40.7,-75.2,2021,42649.81228900397,historical
40.8,-80.3,2021,54.88755249138128,historical
40.8,-79.8,2021,658.6506298965754,historical
40.8,-79.7,2021,484.1474741802148,forecast
40.8,-79.5,2021,5926.150524125229,historical
40.8,-79.4,2021,482.2837049156309,historical
40.8,-79.3,2021,649.266425736225,historical
40.8,-78.5,2021,484.14747418021483,forecast
40.8,-77.9,2021,22472.01070481237,historical
40.8,-76.4,2021,4010.8077241094948,forecast
40.8,-75.2,2021,484.1474741802147,forecast
40.9,-79.9,2021,6790.78345084672,historical
40.9,-79.5,2021,4071.5600352728193,forecast
40.9,-79.4,2021,572.1135394963669,historical
40.9,-79.3,2021,825.6603229055779,historical
40.9,-78.1,2021,260.0669092329857,historical
40.9,-77.8,2021,5101.18249794285,historical
40.9,-76.9,2021,213.79997290512085,historical
40.9,-76.1,2021,130.61252751489735,historical
40.9,-75.7,2021,3898.0739680703914,historical
40.9,-75.5,2021,412.1223188855641,forecast
41.0,-80.4,2021,2072.516650032828,historical
41.0,-80.3,2021,29286.844969124857,historical
41.0,-80.1,2021,538.448389538717,historical
41.0,-79.9,2021,194.97013211068912,historical
41.0,-76.6,2021,383.6576123886369,historical
41.0,-76.5,2021,134.290361220828,forecast
41.0,-76.4,2021,598.0805735850574,historical
41.1,-80.4,2021,11796.48454034504,forecast
41.1,-80.2,2021,1003.435663138066,historical
41.1,-79.4,2021,169.53410125516842,forecast
41.1,-78.8,2021,15589.964588663044,historical
41.1,-78.7,2021,1484.4574456241276,historical
41.1,-77.6,2021,427.4471522217306,historical
41.1,-77.3,2021,155.0633684159117,historical
41.1,-76.7,2021,221.39715401905178,forecast
41.1,-76.6,2021,1253.3015383779614,forecast
41.2,-80.4,2021,1253.3015383779614,forecast
41.2,-80.1,2021,5442.309936209884,historical
41.2,-79.8,2021,1193.4393396892644,forecast
41.2,-79.5,2021,1291.436281476225,forecast
41.2,-76.9,2021,465.0146850999971,historical
