population,density,St,lat,long,latitudeGrid,longitudeGrid
21047,83.5,Pennsylvania,40.5994,-77.5756,40.6,-77.6
4906,20.4,Pennsylvania,40.5046,-77.7186,40.5,-77.7
4812,67.1,Pennsylvania,40.496,-77.7237,40.5,-77.7
3398,13.6,Pennsylvania,40.7203,-77.5567,40.7,-77.6
94,318.1,Pennsylvania,40.3931,-77.8316,40.4,-77.8
4423,52.4,Pennsylvania,40.6722,-77.6116,40.7,-77.6
1140,296.8,Pennsylvania,40.6431,-77.5805,40.6,-77.6
10099,70.7,Pennsylvania,40.8999,-75.476,40.9,-75.5
30547,279.4,Pennsylvania,41.0367,-75.1735,41.0,-75.2
17153,108.2,Pennsylvania,41.0712,-75.2364,41.1,-75.2
1859,242.2,Pennsylvania,41.008,-75.2967,41.0,-75.3
2265,155.5,Pennsylvania,40.9309,-75.4104,40.9,-75.4
131,57.1,Pennsylvania,41.1879,-75.2657,41.2,-75.3
2157,22.1,Pennsylvania,41.2338,-75.2573,41.2,-75.3
4240,48.1,Pennsylvania,41.154,-75.2805,41.2,-75.3
524,144.0,Pennsylvania,40.9793,-75.143,41.0,-75.1
8379,210.2,Pennsylvania,40.9669,-75.4523,41.0,-75.5
630,97.7,Pennsylvania,40.9089,-75.4314,40.9,-75.4
2710,85.6,Pennsylvania,41.0889,-75.2798,41.1,-75.3
573,128.0,Pennsylvania,40.8982,-75.5074,40.9,-75.5
5182,73.6,Pennsylvania,41.0677,-75.4482,41.1,-75.4
917,289.3,Pennsylvania,41.0508,-75.2083,41.1,-75.2
248,21.7,Pennsylvania,41.0004,-75.1371,41.0,-75.1
523,172.9,Pennsylvania,41.1737,-75.271,41.2,-75.3
3810,197.4,Pennsylvania,41.1216,-75.3529,41.1,-75.4
2453,103.7,Pennsylvania,41.1353,-75.4079,41.1,-75.4
2449,48.0,Pennsylvania,41.1187,-75.5559,41.1,-75.6
2449,48.0,Pennsylvania,41.0338,-75.308,41.0,-75.3
100,36.3,Pennsylvania,41.1001,-75.3588,41.1,-75.4
1472,33.6,Pennsylvania,41.1054,-75.476,41.1,-75.5
817,112.8,Pennsylvania,41.019,-75.336,41.0,-75.3
12460,104.6,Pennsylvania,40.8965,-75.367,40.9,-75.4
924,108.5,Pennsylvania,40.9257,-75.325,40.9,-75.3
1553,80.8,Pennsylvania,41.0751,-75.3265,41.1,-75.3
78,80.7,Pennsylvania,41.0123,-75.1107,41.0,-75.1
119,10.1,Pennsylvania,41.2336,-75.2389,41.2,-75.2
27084,138.0,Pennsylvania,40.9877,-75.2485,41.0,-75.2
1019,81.2,Pennsylvania,41.0879,-75.3483,41.1,-75.3
2735,139.9,Pennsylvania,41.0472,-75.3244,41.0,-75.3
17472,179.1,Pennsylvania,41.1836,-75.3918,41.2,-75.4
5062,64.1,Pennsylvania,41.0485,-75.5343,41.0,-75.5
5299,150.8,Pennsylvania,40.4119,-75.5056,40.4,-75.5
4678,100.7,Pennsylvania,40.3534,-75.4351,40.4,-75.4
1108,119.7,Pennsylvania,40.4317,-75.5331,40.4,-75.5
10293,188.7,Pennsylvania,40.3911,-75.4866,40.4,-75.5
5688,117.6,Pennsylvania,40.3157,-75.5022,40.3,-75.5
2806,856.2,Pennsylvania,40.3758,-75.4846,40.4,-75.5
447,333.9,Pennsylvania,40.3278,-75.454,40.3,-75.5
645,389.7,Pennsylvania,40.2728,-75.2563,40.3,-75.3
2123,1429.5,Pennsylvania,40.32,-75.3742,40.3,-75.4
911,221.7,Pennsylvania,40.3081,-75.3586,40.3,-75.4
0,2.1,Pennsylvania,40.2241,-75.231,40.2,-75.2
1720,243.6,Pennsylvania,40.3029,-75.4486,40.3,-75.4
1720,243.6,Pennsylvania,40.2904,-75.4355,40.3,-75.4
14015,570.1,Pennsylvania,40.2884,-75.341,40.3,-75.3
15400,348.9,Pennsylvania,40.3205,-75.352,40.3,-75.4
725,662.9,Pennsylvania,40.347,-75.377,40.3,-75.4
4136,316.9,Pennsylvania,40.3107,-75.4488,40.3,-75.4
17273,1899.1,Pennsylvania,40.1238,-75.1148,40.1,-75.1
32466,602.4,Pennsylvania,40.1809,-75.2156,40.2,-75.2
9719,1329.9,Pennsylvania,40.0118,-75.2342,40.0,-75.2
22367,644.3,Pennsylvania,40.1284,-75.0607,40.1,-75.1
803,256.4,Pennsylvania,40.135,-75.0623,40.1,-75.1
6702,1466.1,Pennsylvania,40.0603,-75.1048,40.1,-75.1
5526,694.9,Pennsylvania,40.1431,-75.1624,40.1,-75.2
19999,1862.4,Pennsylvania,40.075,-75.1315,40.1,-75.1
4653,631.7,Pennsylvania,40.1068,-75.2115,40.1,-75.2
5791,371.0,Pennsylvania,40.1386,-75.2022,40.1,-75.2
